year,ticker,comname,fieldid,fieldname,value,valuescore
2018,AAPL,APPLE INC.,1,ESGScore,B+,0.7011303049
2018,AAPL,APPLE INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.7627118644
2018,AAPL,APPLE INC.,99,EmissionReductionTargetPercentage,7,
2018,AAPL,APPLE INC.,100,EmissionReductionTargetYear,2020,
2019,AAPL,APPLE INC.,1,ESGScore,B+,0.6798346327
2019,AAPL,APPLE INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.7536231884
2019,AAPL,APPLE INC.,99,EmissionReductionTargetPercentage,7,
2019,AAPL,APPLE INC.,100,EmissionReductionTargetYear,2020,
2020,AAPL,APPLE INC.,1,ESGScore,A-,0.7734788527
2020,AAPL,APPLE INC.,92,CarbonOffsetsCredits,70000,
2020,AAPL,APPLE INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.7500000000
2020,AAPL,APPLE INC.,99,EmissionReductionTargetPercentage,75,
2020,AAPL,APPLE INC.,100,EmissionReductionTargetYear,2030,
2021,AAPL,APPLE INC.,1,ESGScore,A-,0.8230122312
2021,AAPL,APPLE INC.,92,CarbonOffsetsCredits,667000,
2021,AAPL,APPLE INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.7291666667
2021,AAPL,APPLE INC.,99,EmissionReductionTargetPercentage,75,
2021,AAPL,APPLE INC.,100,EmissionReductionTargetYear,2030,
2022,AAPL,APPLE INC.,1,ESGScore,A-,0.7782599730
2022,AAPL,APPLE INC.,92,CarbonOffsetsCredits,324100,
2022,AAPL,APPLE INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.6651376147
2022,AAPL,APPLE INC.,99,EmissionReductionTargetPercentage,75,
2022,AAPL,APPLE INC.,100,EmissionReductionTargetYear,2030,
2023,AAPL,APPLE INC.,1,ESGScore,A-,0.7525185287
2023,AAPL,APPLE INC.,92,CarbonOffsetsCredits,485000,
2023,AAPL,APPLE INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.6342592593
2023,AAPL,APPLE INC.,99,EmissionReductionTargetPercentage,75,
2023,AAPL,APPLE INC.,100,EmissionReductionTargetYear,2030,
2024,AAPL,APPLE INC.,1,ESGScore,B+,0.7306130474
2024,AAPL,APPLE INC.,92,CarbonOffsetsCredits,737100,
2024,AAPL,APPLE INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.6126126126
2024,AAPL,APPLE INC.,99,EmissionReductionTargetPercentage,75,
2024,AAPL,APPLE INC.,100,EmissionReductionTargetYear,2030,
2025,AAPL,APPLE INC.,1,ESGScore,B+,0.7206366194
2018,AMZN,"AMAZON.COM, INC.",1,ESGScore,A,0.8463890699
2018,AMZN,"AMAZON.COM, INC.",94,ClimateChangeCommercialRisksOpportunities,true,0.8947368421
2019,AMZN,"AMAZON.COM, INC.",1,ESGScore,A,0.8705487998
2019,AMZN,"AMAZON.COM, INC.",94,ClimateChangeCommercialRisksOpportunities,true,0.8518518519
2019,AMZN,"AMAZON.COM, INC.",99,EmissionReductionTargetPercentage,100,
2019,AMZN,"AMAZON.COM, INC.",100,EmissionReductionTargetYear,2030,
2020,AMZN,"AMAZON.COM, INC.",1,ESGScore,A,0.8716526828
2020,AMZN,"AMAZON.COM, INC.",94,ClimateChangeCommercialRisksOpportunities,true,0.7777777778
2020,AMZN,"AMAZON.COM, INC.",99,EmissionReductionTargetPercentage,100,
2020,AMZN,"AMAZON.COM, INC.",100,EmissionReductionTargetYear,2040,
2021,AMZN,"AMAZON.COM, INC.",1,ESGScore,A-,0.7980020547
2021,AMZN,"AMAZON.COM, INC.",94,ClimateChangeCommercialRisksOpportunities,true,0.7157894737
2021,AMZN,"AMAZON.COM, INC.",99,EmissionReductionTargetPercentage,100,
2021,AMZN,"AMAZON.COM, INC.",100,EmissionReductionTargetYear,2040,
2022,AMZN,"AMAZON.COM, INC.",1,ESGScore,A-,0.7869786973
2022,AMZN,"AMAZON.COM, INC.",94,ClimateChangeCommercialRisksOpportunities,false,0.0000000000
2022,AMZN,"AMAZON.COM, INC.",99,EmissionReductionTargetPercentage,100,
2022,AMZN,"AMAZON.COM, INC.",100,EmissionReductionTargetYear,2040,
2023,AMZN,"AMAZON.COM, INC.",1,ESGScore,A-,0.8228402485
2023,AMZN,"AMAZON.COM, INC.",94,ClimateChangeCommercialRisksOpportunities,true,0.6188118812
2023,AMZN,"AMAZON.COM, INC.",99,EmissionReductionTargetPercentage,100,
2023,AMZN,"AMAZON.COM, INC.",100,EmissionReductionTargetYear,2040,
2024,AMZN,"AMAZON.COM, INC.",1,ESGScore,B+,0.7205051291
2024,AMZN,"AMAZON.COM, INC.",94,ClimateChangeCommercialRisksOpportunities,true,0.5510204082
2024,AMZN,"AMAZON.COM, INC.",99,EmissionReductionTargetPercentage,100,
2024,AMZN,"AMAZON.COM, INC.",100,EmissionReductionTargetYear,2040,
2018,CVX,CHEVRON CORPORATION,1,ESGScore,A-,0.8058272704
2018,CVX,CHEVRON CORPORATION,92,CarbonOffsetsCredits,3000000,
2018,CVX,CHEVRON CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6980392157
2018,CVX,CHEVRON CORPORATION,99,EmissionReductionTargetPercentage,20,
2018,CVX,CHEVRON CORPORATION,100,EmissionReductionTargetYear,2023,
2019,CVX,CHEVRON CORPORATION,1,ESGScore,A-,0.7571415272
2019,CVX,CHEVRON CORPORATION,92,CarbonOffsetsCredits,1000000,
2019,CVX,CHEVRON CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6431226766
2019,CVX,CHEVRON CORPORATION,99,EmissionReductionTargetPercentage,5,
2019,CVX,CHEVRON CORPORATION,100,EmissionReductionTargetYear,2023,
2020,CVX,CHEVRON CORPORATION,1,ESGScore,A,0.8352483596
2020,CVX,CHEVRON CORPORATION,92,CarbonOffsetsCredits,2000000,
2020,CVX,CHEVRON CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6043956044
2020,CVX,CHEVRON CORPORATION,99,EmissionReductionTargetPercentage,5,
2020,CVX,CHEVRON CORPORATION,100,EmissionReductionTargetYear,2023,
2021,CVX,CHEVRON CORPORATION,1,ESGScore,A-,0.8168018972
2021,CVX,CHEVRON CORPORATION,92,CarbonOffsetsCredits,13000000,
2021,CVX,CHEVRON CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5726950355
2021,CVX,CHEVRON CORPORATION,99,EmissionReductionTargetPercentage,5,
2021,CVX,CHEVRON CORPORATION,100,EmissionReductionTargetYear,2028,
2022,CVX,CHEVRON CORPORATION,1,ESGScore,B,0.6594625077
2022,CVX,CHEVRON CORPORATION,92,CarbonOffsetsCredits,10000000,
2022,CVX,CHEVRON CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5553633218
2022,CVX,CHEVRON CORPORATION,99,EmissionReductionTargetPercentage,5,
2022,CVX,CHEVRON CORPORATION,100,EmissionReductionTargetYear,2028,
2023,CVX,CHEVRON CORPORATION,1,ESGScore,B,0.6610765780
2023,CVX,CHEVRON CORPORATION,92,CarbonOffsetsCredits,5000000,
