year,ticker,comname,fieldid,fieldname,value,valuescore
2018,AAPL,APPLE INC.,1,ESGScore,B+,0.7011303049
2018,AAPL,APPLE INC.,2,ESGCombinedScore,C,0.3922318191
2018,AAPL,APPLE INC.,89,AnalyticCO2EstimationMethod,Reported,
2018,AAPL,APPLE INC.,95,CO2EquivalentsEmissionDirectScope1,54590,
2018,AAPL,APPLE INC.,96,CO2EquivalentsEmissionIndirectScope3,25070500,
2018,AAPL,APPLE INC.,97,CO2EquivalentsEmissionIndirectScope2,776500,
2018,AAPL,APPLE INC.,98,CO2EquivalentsEmissionTotal,831090,
2019,AAPL,APPLE INC.,1,ESGScore,B+,0.6798346327
2019,AAPL,APPLE INC.,2,ESGCombinedScore,C,0.3676950942
2019,AAPL,APPLE INC.,89,AnalyticCO2EstimationMethod,Reported,
2019,AAPL,APPLE INC.,95,CO2EquivalentsEmissionDirectScope1,52730,
2019,AAPL,APPLE INC.,96,CO2EquivalentsEmissionIndirectScope3,25065200,
2019,AAPL,APPLE INC.,97,CO2EquivalentsEmissionIndirectScope2,862127,
2019,AAPL,APPLE INC.,98,CO2EquivalentsEmissionTotal,914857,
2020,AAPL,APPLE INC.,1,ESGScore,A-,0.7734788527
2020,AAPL,APPLE INC.,2,ESGCombinedScore,C,0.4145172041
2020,AAPL,APPLE INC.,89,AnalyticCO2EstimationMethod,Reported,
2020,AAPL,APPLE INC.,95,CO2EquivalentsEmissionDirectScope1,47430,
2020,AAPL,APPLE INC.,96,CO2EquivalentsEmissionIndirectScope3,22547000,
2020,AAPL,APPLE INC.,97,CO2EquivalentsEmissionIndirectScope2,890200,
2020,AAPL,APPLE INC.,98,CO2EquivalentsEmissionTotal,937630,
2021,AAPL,APPLE INC.,1,ESGScore,A-,0.8230122312
2021,AAPL,APPLE INC.,2,ESGCombinedScore,C+,0.4392838934
2021,AAPL,APPLE INC.,89,AnalyticCO2EstimationMethod,Reported,
2021,AAPL,APPLE INC.,95,CO2EquivalentsEmissionDirectScope1,55200,
2021,AAPL,APPLE INC.,96,CO2EquivalentsEmissionIndirectScope3,23128420,
2021,AAPL,APPLE INC.,97,CO2EquivalentsEmissionIndirectScope2,1003246,
2021,AAPL,APPLE INC.,98,CO2EquivalentsEmissionTotal,1058446,
2022,AAPL,APPLE INC.,1,ESGScore,A-,0.7782599730
2022,AAPL,APPLE INC.,2,ESGCombinedScore,C,0.4118572592
2022,AAPL,APPLE INC.,89,AnalyticCO2EstimationMethod,Reported,
2022,AAPL,APPLE INC.,95,CO2EquivalentsEmissionDirectScope1,55200,
2022,AAPL,APPLE INC.,96,CO2EquivalentsEmissionIndirectScope3,20550000,
2022,AAPL,APPLE INC.,97,CO2EquivalentsEmissionIndirectScope2,1065405,
2022,AAPL,APPLE INC.,98,CO2EquivalentsEmissionTotal,1120605,
2023,AAPL,APPLE INC.,1,ESGScore,A-,0.7525185287
2023,AAPL,APPLE INC.,2,ESGCombinedScore,C,0.3929259310
2023,AAPL,APPLE INC.,89,AnalyticCO2EstimationMethod,Reported,
2023,AAPL,APPLE INC.,95,CO2EquivalentsEmissionDirectScope1,55200,
2023,AAPL,APPLE INC.,96,CO2EquivalentsEmissionIndirectScope3,15978100,
2023,AAPL,APPLE INC.,97,CO2EquivalentsEmissionIndirectScope2,1206700,
2023,AAPL,APPLE INC.,98,CO2EquivalentsEmissionTotal,1261900,
2024,AAPL,APPLE INC.,1,ESGScore,B+,0.7306130474
2024,AAPL,APPLE INC.,2,ESGCombinedScore,C,0.3757231904
2024,AAPL,APPLE INC.,89,AnalyticCO2EstimationMethod,Reported,
2024,AAPL,APPLE INC.,95,CO2EquivalentsEmissionDirectScope1,55200,
2024,AAPL,APPLE INC.,96,CO2EquivalentsEmissionIndirectScope3,15070900,
2024,AAPL,APPLE INC.,97,CO2EquivalentsEmissionIndirectScope2,1224500,
2024,AAPL,APPLE INC.,98,CO2EquivalentsEmissionTotal,1279700,
2025,AAPL,APPLE INC.,1,ESGScore,B+,0.7206366194
2025,AAPL,APPLE INC.,2,ESGCombinedScore,C,0.3703183097
2025,AAPL,APPLE INC.,89,AnalyticCO2EstimationMethod,CO2,
2018,AMZN,"AMAZON.COM, INC.",1,ESGScore,A,0.8463890699
2018,AMZN,"AMAZON.COM, INC.",2,ESGCombinedScore,C+,0.4700695350
2018,AMZN,"AMAZON.COM, INC.",89,AnalyticCO2EstimationMethod,Reported,
2018,AMZN,"AMAZON.COM, INC.",95,CO2EquivalentsEmissionDirectScope1,4980000,
2018,AMZN,"AMAZON.COM, INC.",96,CO2EquivalentsEmissionIndirectScope3,34710000,
2018,AMZN,"AMAZON.COM, INC.",97,CO2EquivalentsEmissionIndirectScope2,4710000,
2018,AMZN,"AMAZON.COM, INC.",98,CO2EquivalentsEmissionTotal,9690000,
2019,AMZN,"AMAZON.COM, INC.",1,ESGScore,A,0.8705487998
2019,AMZN,"AMAZON.COM, INC.",2,ESGCombinedScore,C+,0.4499802822
2019,AMZN,"AMAZON.COM, INC.",89,AnalyticCO2EstimationMethod,Reported,
2019,AMZN,"AMAZON.COM, INC.",95,CO2EquivalentsEmissionDirectScope1,5760000,
2019,AMZN,"AMAZON.COM, INC.",96,CO2EquivalentsEmissionIndirectScope3,39908000,
2019,AMZN,"AMAZON.COM, INC.",97,CO2EquivalentsEmissionIndirectScope2,5500000,
2019,AMZN,"AMAZON.COM, INC.",98,CO2EquivalentsEmissionTotal,11260000,
2020,AMZN,"AMAZON.COM, INC.",1,ESGScore,A,0.8716526828
2020,AMZN,"AMAZON.COM, INC.",2,ESGCombinedScore,C+,0.4536834843
2020,AMZN,"AMAZON.COM, INC.",89,AnalyticCO2EstimationMethod,Reported,
2020,AMZN,"AMAZON.COM, INC.",95,CO2EquivalentsEmissionDirectScope1,9620000,
